pitch,roll,yaw,eye_pitch,eye_yaw,actual_label
-8.086346839,-1.131981258,-1.168950347,-5.675840094,7.119290115,gazing
-8.084939268,-1.484686533,-0.842775145,-5.933778361,4.94522427,gazing
-8.161390573,-1.404673717,-0.834272079,-6.378617321,7.927394364,gazing
-7.839706671,-1.43968609,-0.596403046,-6.002514245,-0.011652599,gazing
-9.017540699,-1.663350584,-0.364524145,-3.553470286,2.68184939,gazing
-8.542014066,-1.704643155,-0.618556813,-3.933392772,1.322195778,gazing
-8.767621117,-1.4405769,-0.499463463,-2.716209204,-1.536121162,gazing
-8.760431522,-1.348206219,-0.433622039,-4.107523528,-0.504894067,gazing
-8.346187873,-1.376136986,-1.039802311,-3.439012471,-1.719837226,gazing
-8.467042095,-1.425776198,-1.14260893,-5.675010861,0.759287801,gazing
-8.520636318,-1.404449873,-0.658265658,-4.226880739,1.072551663,gazing
-8.903663693,-1.629259182,-0.354068593,-5.840469087,0.959361716,gazing
-8.404353488,-1.568292017,-1.081848655,-4.505674949,5.006626889,gazing
-8.813833344,-1.416548928,-0.868242519,-5.961383538,1.890518255,gazing
-8.802660242,-1.536281735,-1.081205005,-1.954043153,-1.139775285,gazing
-8.217894813,-1.004204514,-0.925140058,-4.980376095,-1.152653249,gazing
-8.526190839,-1.221461711,-0.390553932,-4.761223483,-5.704616841,gazing
-9.25015983,-1.305619365,-0.154253593,-6.85600962,6.553072785,gazing
-8.426488157,-1.444831901,-1.074655461,-3.892462872,1.06574212,gazing
-8.579372074,-1.601939379,-0.575136725,-3.749647701,1.589944717,gazing
-7.918051946,-1.520113485,-1.104589514,-5.645911176,1.847113372,gazing
-8.362981715,-1.78427956,-0.77203879,-3.002797777,0.295634363,gazing
-8.699559767,-1.514688994,-1.258475141,-4.289834752,3.54509705,gazing
-8.33343013,-2.476368973,5.83206964,8.157189674,8.10585132,gazing
2.640428802,-6.580159987,34.00778232,-7.783818211,-29.63671879,gazing
4.310877167,-6.939139081,35.03222643,-13.16464249,-23.41378489,gazing
4.996260807,-7.940639647,34.25177039,-4.775321541,-30.67076075,gazing
3.393407919,-7.137585437,34.84204261,-6.073172289,-30.17280939,gazing
3.786908446,-7.33778276,33.41314203,-8.742899535,-27.56137532,gazing
2.875834233,-7.251805472,34.14719744,-7.952709676,-28.58272219,gazing
3.264224098,-6.766958722,33.272944,-4.437687815,-30.35618018,gazing
2.213451999,-6.07484234,32.81566181,-7.050962599,-31.09762829,gazing
1.390960274,-6.339924078,33.49645158,-5.962775798,-31.69363141,gazing
2.685082837,-6.831768078,32.80012894,-3.358098621,-34.19153448,gazing
2.226531866,-6.296268748,32.34985559,-3.241265435,-32.11710743,gazing
3.20163948,-6.711728943,32.30751703,-8.008406901,-32.84989774,gazing
2.572152952,-6.274056604,32.40966525,-5.484649939,-31.53640628,gazing
2.979629693,-6.494727213,32.55489012,-6.644575825,-28.84165483,gazing
3.170901725,-6.328548753,32.69863168,-9.591775066,-29.52073859,gazing
2.925236842,-6.098814606,33.80233086,-6.55468419,-36.55203389,gazing
2.122315936,-6.001608551,32.98571395,-8.885881976,-30.8136562,gazing
1.434456558,-6.147234361,32.71868481,-5.732933261,-35.28064456,gazing
3.258011744,-6.267839029,33.08540571,-9.411688904,-27.50731892,gazing
3.007257786,-6.416385863,32.96638469,-7.139287288,-27.08472653,gazing
2.676622044,-5.855970348,33.26000566,-7.498957345,-32.81405112,gazing
2.433172443,-6.514610614,32.82247347,-6.096897726,-33.61579008,gazing
1.654395105,-5.590368252,32.78056382,-8.756540675,-27.13494158,gazing
3.055272291,-6.020513926,32.68926623,-8.090910177,-32.54641654,gazing
2.317818604,-5.873992163,32.3874995,-8.123554572,-32.62378862,gazing
1.968363728,-5.87569134,32.26628287,-5.667813864,-27.93622101,gazing
-3.660269831,-0.33152541,0.074169199,-9.377184792,10.99192948,gazing
4.535101185,5.148169932,-32.91936093,-11.48990432,12.37367865,gazing
3.843442411,6.591999735,-33.22787164,-4.756349717,-3.213289889,gazing
3.343830263,6.482463242,-34.17620773,-3.81867007,-0.197969193,gazing
2.894322908,6.223630802,-33.46020486,-6.254936445,-3.732197836,gazing
5.607292703,7.655570573,-32.78339311,-4.520693444,-0.480947425,gazing
5.271651937,7.171159006,-32.81056171,-5.067703316,2.131805996,gazing
6.303987687,7.14778593,-31.85416344,-9.818273293,19.51487061,gazing
5.78359873,7.700946174,-32.89162486,-14.97417483,20.50599061,gazing
5.592623939,8.484710658,-31.41654476,-14.90708322,21.35519016,gazing
7.74226824,9.511455455,-28.09467571,-14.79890625,22.58805137,gazing
8.026323142,8.941773847,-28.25099037,-19.51136134,20.67078474,gazing
7.994802642,9.588475038,-27.96471154,-16.50064828,27.88923355,gazing
5.461200513,9.189792297,-26.52601508,-15.42486269,26.82429233,gazing
5.755507533,8.954651004,-26.3882576,-15.97819338,18.95115703,gazing
6.681005172,9.006244077,-26.46208741,-14.31454602,23.75838231,gazing
6.048825718,8.798015717,-26.40603197,-14.55697839,24.71419613,gazing
6.641348474,9.575953042,-25.76928042,-18.40292415,22.85240406,gazing
6.033834367,9.295800802,-25.87633016,-14.99889798,26.24010518,gazing
