,file_name,pitch,roll,yaw,eye_pitch,eye_yaw,magnitude,label,predicted_label,actual_label
73,73.jpg,0.9303033220494258,-2.6192301896403425,-4.1230173137871065,5.290128000924941,-13.230325803254805,16,head_straight_eye_left_30,gazing else where,gazing else where
74,74.jpg,0.9303033220494258,-2.6192301896403425,-4.1230173137871065,5.290128000924941,-13.230325803254805,16,head_straight_eye_left_30,gazing else where,gazing else where
75,75.jpg,1.1902802316783865,-2.5927765384536348,-4.140416165171231,6.334673435359798,-13.215833690740864,17,head_straight_eye_left_30,gazing else where,gazing else where
76,76.jpg,1.1902802316783865,-2.5927765384536348,-4.140416165171231,6.334673435359798,-13.215833690740864,17,head_straight_eye_left_30,gazing else where,gazing else where
77,77.jpg,1.0900625629659892,-2.516565960617665,-4.225892713725867,5.741481572310146,-8.714795736327032,13,head_straight_eye_left_30,gazing,gazing else where
78,78.jpg,1.0900625629659892,-2.516565960617665,-4.225892713725867,5.741481572310146,-8.714795736327032,13,head_straight_eye_left_30,gazing,gazing else where
79,79.jpg,1.7094016973382355,-2.5564793700843453,-4.357025202080919,4.989365823985414,-10.485707760363976,14,head_straight_eye_left_30,gazing,gazing else where
80,80.jpg,1.7094016973382355,-2.5564793700843453,-4.357025202080919,4.989365823985414,-10.485707760363976,14,head_straight_eye_left_30,gazing,gazing else where
81,81.jpg,1.4497109741131486,-2.441998654727016,-4.3156265522182276,5.1889748146112575,-6.014812649298948,10,head_straight_eye_left_30,gazing,gazing else where
82,82.jpg,1.4497109741131486,-2.441998654727016,-4.3156265522182276,5.1889748146112575,-6.014812649298948,10,head_straight_eye_left_30,gazing,gazing else where
83,83.jpg,2.1130687411449025,-2.523781366343626,-4.388226441615478,6.766763611114134,-6.948414507337557,11,head_straight_eye_left_30,gazing,gazing else where
84,84.jpg,2.1130687411449025,-2.523781366343626,-4.388226441615478,6.766763611114134,-6.948414507337557,11,head_straight_eye_left_30,gazing,gazing else where
85,85.jpg,1.4253559620938143,-2.601223299802155,-4.493872271870474,6.927639772949765,-11.655419775894988,15,head_straight_eye_left_30,gazing else where,gazing else where
86,86.jpg,1.4253559620938143,-2.601223299802155,-4.493872271870474,6.927639772949765,-11.655419775894988,15,head_straight_eye_left_30,gazing else where,gazing else where
87,87.jpg,1.543074577152509,-2.711958067269435,-4.133373562665086,7.9329503946129485,-13.328405015555065,17,head_straight_eye_left_30,gazing else where,gazing else where
88,88.jpg,1.543074577152509,-2.711958067269435,-4.133373562665086,7.9329503946129485,-13.328405015555065,17,head_straight_eye_left_30,gazing else where,gazing else where
89,89.jpg,1.5462315646818234,-2.8272822297971802,-4.18882876710426,5.8096817202930815,-8.071586537297925,12,head_straight_eye_left_30,gazing,gazing else where
90,90.jpg,1.5462315646818234,-2.8272822297971802,-4.18882876710426,5.8096817202930815,-8.071586537297925,12,head_straight_eye_left_30,gazing,gazing else where
91,91.jpg,0.8337806339042769,-2.465694583222353,-4.196899917512518,6.724004745295706,-12.223610291262135,16,head_straight_eye_left_30,gazing else where,gazing else where
92,92.jpg,0.8337806339042769,-2.465694583222353,-4.196899917512518,6.724004745295706,-12.223610291262135,16,head_straight_eye_left_30,gazing else where,gazing else where
93,93.jpg,0.6429729153519399,-2.5939966072167584,-4.0409726645411554,7.738900254911333,-12.24151026145725,17,head_straight_eye_left_30,gazing else where,gazing else where
94,94.jpg,0.6429729153519399,-2.5939966072167584,-4.0409726645411554,7.738900254911333,-12.24151026145725,17,head_straight_eye_left_30,gazing else where,gazing else where
